City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mount Darwin,ZW,-16.7725,31.5838,69.71,87,100,2.15,light rain
80,Hermanus,ZA,-34.4187,19.2345,64.8,86,100,13.4,overcast clouds
81,Luderitz,NA,-26.6481,15.1594,60.84,87,4,5.48,clear sky
82,Bredasdorp,ZA,-34.5322,20.0403,65.52,82,100,11.5,light rain
83,Kamiiso,JP,41.8167,140.65,28.78,64,40,16.11,light snow
84,Mumford,GH,5.2618,-0.759,78.78,77,97,4.43,overcast clouds
85,Cape Town,ZA,-33.9258,18.4232,66.88,79,0,4.0,clear sky
86,Yatou,CN,37.15,122.3833,42.19,69,94,2.1,overcast clouds
87,Tasiilaq,GL,65.6145,-37.6368,24.96,53,0,5.57,clear sky
88,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,77,90,21.85,light snow
89,Saint-Pierre,RE,-21.3393,55.4781,78.44,81,0,6.91,clear sky
90,Tabou,CI,4.423,-7.3528,80.78,80,53,6.29,broken clouds
91,Binga,ZW,-17.6203,27.3414,70.61,90,100,4.12,light rain
92,Aklavik,CA,68.2191,-135.0107,-6.88,76,20,6.91,few clouds
93,Faanui,PF,-16.4833,-151.75,82.15,71,100,11.05,overcast clouds
94,Vardo,NO,70.3705,31.1107,22.23,68,100,10.58,light snow
95,Inirida,CO,3.8653,-67.9239,75.74,96,61,1.61,broken clouds
96,Viedma,AR,-40.8135,-62.9967,67.57,40,0,12.21,clear sky
97,Upernavik,GL,72.7868,-56.1549,21.87,68,68,5.75,broken clouds
98,Nelson Bay,AU,-32.7167,152.15,82.76,82,100,12.77,overcast clouds
99,Clyde River,CA,70.4692,-68.5914,14.23,79,93,16.11,light snow
100,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,10.99,73,75,8.95,light snow
101,Leningradskiy,RU,69.3833,178.4167,-16.65,98,100,8.39,overcast clouds
102,Loksa,EE,59.5764,25.7214,23.94,82,95,18.37,light snow
103,New Norfolk,AU,-42.7826,147.0587,66.7,29,11,1.3,few clouds
104,Lebu,CL,-37.6167,-73.65,56.14,95,16,13.02,few clouds
105,Tulun,RU,54.5611,100.5792,-27.13,100,17,2.95,few clouds
106,Geraldton,AU,-28.7667,114.6,77.41,61,9,8.05,clear sky
107,Nara,JP,34.6851,135.8049,47.5,49,5,1.36,clear sky
108,Rantepao,ID,-2.9701,119.8978,77.58,68,100,1.74,overcast clouds
109,Victoria,HK,22.2855,114.1577,68.25,81,100,1.99,overcast clouds
110,Jharsuguda,IN,21.85,84.0333,50.4,43,0,3.22,clear sky
111,Vostok,RU,46.4856,135.8833,-12.86,86,8,2.86,clear sky
112,Tiarei,PF,-17.5333,-149.3333,87.82,73,79,12.53,broken clouds
113,Korgen,NO,66.0771,13.8153,15.33,97,100,5.95,light snow
114,Kaitangata,NZ,-46.2817,169.8464,65.93,42,88,9.04,overcast clouds
115,Ikalamavony,MG,-21.15,46.5833,68.81,84,73,3.58,broken clouds
116,Krasnooktyabrskiy,RU,44.9328,38.3712,20.95,65,8,4.76,clear sky
117,Carnarvon,AU,-24.8667,113.6333,75.27,78,75,17.27,broken clouds
118,Beniganj,IN,27.2833,80.45,52.61,41,6,2.26,clear sky
119,Ketchikan,US,55.3422,-131.6461,30.67,69,1,9.22,clear sky
120,Puerto Escondido,MX,15.85,-97.0667,81.43,69,20,6.91,few clouds
121,Bathsheba,BB,13.2167,-59.5167,81.21,74,40,24.16,scattered clouds
122,Fairbanks,US,64.8378,-147.7164,-6.02,76,90,4.61,overcast clouds
123,Mahebourg,MU,-20.4081,57.7,79.25,94,75,8.05,broken clouds
124,Lingyuan,CN,41.24,119.4011,17.1,55,100,3.29,overcast clouds
125,Champerico,GT,14.3,-91.9167,81.36,72,15,3.13,few clouds
126,Jiuquan,CN,39.7432,98.5174,22.42,35,26,2.3,scattered clouds
127,Cam Ranh,VN,11.9214,109.1591,71.56,94,75,4.61,broken clouds
128,Kodiak,US,57.79,-152.4072,36.91,75,90,0.0,overcast clouds
129,Saskylakh,RU,71.9167,114.0833,-30.82,100,32,4.45,scattered clouds
130,Touros,BR,-5.1989,-35.4608,81.5,79,99,11.83,overcast clouds
131,Turayf,SA,31.6725,38.6637,43.05,93,20,4.61,few clouds
132,Nyurba,RU,63.2842,118.3319,-37.48,100,93,1.95,overcast clouds
133,Sistranda,NO,63.7256,8.834,28.36,71,93,6.87,overcast clouds
134,Baruun-Urt,MN,46.6806,113.2792,-5.37,80,9,7.85,clear sky
135,Tashara,RU,55.5195,83.5094,9.23,90,5,6.29,clear sky
136,Muros,ES,42.7762,-9.0603,60.24,94,100,25.05,overcast clouds
137,Nuuk,GL,64.1835,-51.7216,34.41,93,75,10.36,broken clouds
