City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Mahebourg,MU,2021-12-14 20:52:28,-20.4081,57.7,78.26,78,40,11.5
67,Komsomolskiy,UZ,2021-12-14 20:52:29,40.4272,71.7189,36.32,80,75,2.3
68,Hilo,US,2021-12-14 20:52:29,19.7297,-155.09,80.11,61,1,3.44
69,Mount Gambier,AU,2021-12-14 20:52:29,-37.8333,140.7667,51.71,93,75,0.0
70,Busselton,AU,2021-12-14 20:52:30,-33.65,115.3333,47.08,84,0,6.82
71,Bethel,US,2021-12-14 20:52:31,41.3712,-73.414,51.89,43,1,8.05
72,Lufilufi,WS,2021-12-14 20:52:31,-13.8745,-171.5986,87.58,72,27,12.24
73,Riyadh,SA,2021-12-14 20:51:31,24.6877,46.7219,53.74,22,100,8.72
74,Ostrovnoy,RU,2021-12-14 20:52:31,68.0531,39.5131,24.75,90,100,8.37
75,Luderitz,NA,2021-12-14 20:52:32,-26.6481,15.1594,61.83,82,0,19.75
76,Isangel,VU,2021-12-14 20:52:32,-19.55,169.2667,82.51,83,90,0.0
77,Byron Bay,AU,2021-12-14 20:52:32,-28.65,153.6167,74.05,79,48,10.92
78,Kutum,SD,2021-12-14 20:52:33,14.2,24.6667,69.6,30,100,8.63
79,Kuala Terengganu,MY,2021-12-14 20:52:33,5.3302,103.1408,80.55,83,40,6.91
80,Kintampo,GH,2021-12-14 20:52:33,8.0563,-1.7306,84.6,33,54,4.47
81,Saint-Pierre,RE,2021-12-14 20:52:34,-21.3393,55.4781,76.68,72,0,4.61
82,Vidim,RU,2021-12-14 20:52:34,56.4088,103.1106,-24.95,99,62,1.9
83,Saldanha,ZA,2021-12-14 20:52:34,-33.0117,17.9442,60.85,78,0,16.8
84,Chuy,UY,2021-12-14 20:52:35,-33.6971,-53.4616,70.68,73,13,12.1
85,Scarborough,GB,2021-12-14 20:51:46,54.2797,-0.4044,47.08,87,100,7.0
86,Maragogi,BR,2021-12-14 20:52:35,-9.0122,-35.2225,79.65,77,100,9.95
87,Yar-Sale,RU,2021-12-14 20:52:35,66.8333,70.8333,6.26,97,98,3.22
88,Portland,US,2021-12-14 20:51:39,45.5234,-122.6762,45.45,85,40,1.99
89,Ust-Kuyga,RU,2021-12-14 20:52:36,70.0167,135.6,-25.17,93,100,2.62
90,Salinas,US,2021-12-14 20:50:38,36.6777,-121.6555,53.19,68,20,11.5
91,Vaini,TO,2021-12-14 20:52:36,-21.2,-175.2,82.56,89,40,8.05
92,Khatanga,RU,2021-12-14 20:52:37,71.9667,102.5,-4.74,83,100,6.6
93,Hammerfest,NO,2021-12-14 20:53:37,70.6634,23.6821,28.85,74,0,4.61
94,Iracoubo,GF,2021-12-14 20:53:37,5.4802,-53.2011,78.94,84,100,7.99
95,Kalmunai,LK,2021-12-14 20:53:38,7.4167,81.8167,77.13,87,100,5.46
96,Pevek,RU,2021-12-14 20:53:38,69.7008,170.3133,-25.46,89,27,1.23
97,Laplace,US,2021-12-14 20:53:38,30.0666,-90.4801,78.01,83,40,5.99
98,Qaanaaq,GL,2021-12-14 20:53:39,77.484,-69.3632,0.82,96,96,1.54
99,Ngunguru,NZ,2021-12-14 20:50:09,-35.6167,174.5,72.28,69,73,4.45
100,Nenjiang,CN,2021-12-14 20:53:39,49.1833,125.2167,-12.24,99,93,4.34
101,Hermanus,ZA,2021-12-14 20:53:39,-34.4187,19.2345,62.91,70,98,3.62
102,Puerto Ayora,EC,2021-12-14 20:53:40,-0.7393,-90.3518,76.96,83,80,9.86
103,Temerloh,MY,2021-12-14 20:53:40,3.4483,102.4176,72.27,97,96,1.99
104,Aspindza,GE,2021-12-14 20:53:41,41.5739,43.2483,43.07,72,100,6.35
105,Amapa,BR,2021-12-14 20:53:41,1.0,-52.0,76.01,95,88,3.2
106,Khabary,RU,2021-12-14 20:53:41,53.6259,79.5345,-6.29,100,100,7.56
107,Satipo,PE,2021-12-14 20:53:42,-11.2522,-74.6386,82.56,63,84,2.28
108,Noumea,NC,2021-12-14 20:53:42,-22.2763,166.4572,79.0,99,81,11.14
109,Katsuura,JP,2021-12-14 20:53:42,35.1333,140.3,42.91,76,13,11.41
110,Mataura,NZ,2021-12-14 20:53:43,-46.1927,168.8643,59.49,59,100,7.81
111,Palmerston,AU,2021-12-14 20:53:43,-12.486,130.9833,82.38,81,75,4.61
112,Ravar,IR,2021-12-14 20:53:43,31.2656,56.8055,42.58,38,5,1.21
113,Longyearbyen,SJ,2021-12-14 20:53:44,78.2186,15.6401,26.44,59,0,6.91
114,Touros,BR,2021-12-14 20:53:44,-5.1989,-35.4608,85.1,73,94,12.26
115,Airai,TL,2021-12-14 20:53:44,-8.9266,125.4092,59.25,86,17,2.06
116,Vila Do Maio,CV,2021-12-14 20:53:45,15.1333,-23.2167,74.19,69,76,16.49
117,Avarua,CK,2021-12-14 20:53:45,-21.2078,-159.775,82.45,83,40,10.36
118,Adrar,MR,2021-12-14 20:53:45,20.5022,-10.0711,67.68,21,28,8.32
119,Samarai,PG,2021-12-14 20:53:46,-10.6167,150.6667,82.44,76,97,7.92
120,Dikson,RU,2021-12-14 20:53:46,73.5069,80.5464,-22.5,100,47,6.42
121,Cabo San Lucas,MX,2021-12-14 20:53:38,22.8909,-109.9124,86.5,51,4,1.01
122,Ayagoz,KZ,2021-12-14 20:53:47,47.9714,80.4392,3.4,91,100,3.6
123,Hokitika,NZ,2021-12-14 20:53:47,-42.7167,170.9667,58.3,83,100,8.23
124,Upata,VE,2021-12-14 20:53:48,8.0086,-62.3989,77.2,73,72,4.52
125,Owensboro,US,2021-12-14 20:53:48,37.7742,-87.1133,60.85,58,90,8.05
126,Kastamonu,TR,2021-12-14 20:53:48,41.5,33.6667,42.85,99,100,0.76
127,Bathsheba,BB,2021-12-14 20:53:49,13.2167,-59.5167,81.21,74,75,21.85
128,Cayenne,GF,2021-12-14 20:53:49,4.9333,-52.3333,78.84,90,90,3.0
129,Butaritari,KI,2021-12-14 20:53:49,3.0707,172.7902,81.68,79,70,8.61
130,Kaitangata,NZ,2021-12-14 20:53:50,-46.2817,169.8464,59.94,70,100,13.13
131,Basoko,CD,2021-12-14 20:53:50,1.2391,23.616,77.59,67,100,2.64
132,Ontario,US,2021-12-14 20:49:49,34.0633,-117.6509,58.75,92,90,5.01
133,Niksic,ME,2021-12-14 20:53:50,42.7731,18.9445,42.67,80,6,7.94
134,Octeville,FR,2021-12-14 20:53:51,49.6261,-1.6435,49.93,93,90,5.75
135,San Felipe,VE,2021-12-14 20:53:51,10.3399,-68.7425,76.53,83,58,6.67
136,Vanimo,PG,2021-12-14 20:53:52,-2.6741,141.3028,77.27,91,100,7.36
137,Paragominas,BR,2021-12-14 20:53:52,-2.9667,-47.4833,81.46,72,99,3.24
138,Pangody,RU,2021-12-14 20:53:52,65.85,74.4859,7.11,95,100,10.67
139,Kununurra,AU,2021-12-14 20:54:53,-15.7667,128.7333,82.38,94,73,3.44
140,Hurghada,EG,2021-12-14 20:54:53,27.2574,33.8129,66.06,47,0,20.09
141,Selma,US,2021-12-14 20:54:54,36.5708,-119.6121,46.85,95,100,4.21
142,Batagay-Alyta,RU,2021-12-14 20:54:54,67.8006,130.4114,-20.6,90,100,1.41
143,Inta,RU,2021-12-14 20:54:54,66.0317,60.1659,13.78,95,98,8.48
144,Sioux Lookout,CA,2021-12-14 20:54:55,50.1001,-91.917,37.78,60,75,13.8
145,Nobres,BR,2021-12-14 20:54:55,-14.7203,-56.3275,81.09,76,48,7.23
146,Viedma,AR,2021-12-14 20:54:56,-40.8135,-62.9967,70.38,43,82,16.11
147,Mugur-Aksy,RU,2021-12-14 20:54:56,50.35,90.5,-13.88,91,90,6.82
148,Atikokan,CA,2021-12-14 20:54:56,48.7555,-91.6216,34.45,79,58,14.0
